LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
6,15,1,3,8,8,1,45,23.87,27.06,17479.25,0.22,124,0.04,971.07,645.97,46,78,17,20,57,N
5,17,0,7,9,8,1,82,69.72,22.29,34646.7,0.52,274,0.04,1924.82,1554.24,107,167,36,15,96,Y
12,31,0,0,16,13,10,95,59.66,33.33,66290.05,0.66,334,0.03,3682.78,1988.7,140,194,42,20,112,Y
1,1,0,0,1,1,1,12,89.39,2.5,558.7,0.07,47,0.4,31.04,223.48,22,25,22,5,15,N
0,1,0,0,1,1,1,3,16.84,1.5,37.9,0.01,9,0.67,2.11,25.27,4,5,4,3,8,N
3,3,0,0,2,2,1,21,44.72,7.15,2284.41,0.11,68,0.14,126.91,319.63,27,41,17,9,26,Y
0,3,0,0,2,2,1,5,17.08,3.5,209.28,0.02,18,0.29,11.63,59.79,3,15,3,7,7,Y
7,25,0,2,13,12,4,71,37.62,29.7,33183.4,0.37,196,0.03,1843.52,1117.29,81,115,30,22,82,Y
4,5,0,0,3,3,3,14,16.07,15.2,3715.23,0.08,52,0.07,206.4,244.42,19,33,10,16,20,N
0,1,0,18,1,1,1,8,25.66,5.2,693.88,0.04,32,0.19,38.55,133.44,13,19,10,8,35,Y
2,23,0,2,12,12,1,57,55.45,14.29,11325.25,0.26,151,0.07,629.18,792.44,49,102,24,14,63,N
0,3,0,0,2,1,1,7,8.82,6.67,392.07,0.02,17,0.15,21.78,58.81,5,12,3,8,9,N
2,7,0,0,4,1,1,22,22.36,12.46,3472.18,0.09,60,0.08,192.9,278.63,27,33,13,12,29,Y
6,9,0,0,5,2,4,13,19.94,21.0,8794.04,0.14,81,0.05,488.56,418.76,30,51,15,21,21,Y
2,1,0,0,1,1,1,13,46.22,3.72,639.24,0.06,38,0.27,35.51,171.9,17,21,16,7,23,N
11,53,0,2,27,18,15,137,68.18,48.32,159215.89,1.1,497,0.02,8845.33,3294.79,212,285,68,31,153,Y
11,29,0,2,15,12,9,108,68.03,32.61,72378.03,0.74,350,0.03,4021.0,2218.95,138,212,55,26,123,N
5,1,0,4,1,1,1,10,28.2,3.38,321.25,0.03,25,0.3,17.85,95.18,9,16,8,6,21,Y
3,7,0,1,4,4,1,22,34.8,7.88,2157.9,0.09,57,0.13,119.88,274.02,21,36,16,12,32,N
2,5,0,2,3,3,1,14,19.35,10.67,2202.02,0.07,47,0.09,122.33,206.44,16,31,9,12,22,Y
0,1,1,0,1,1,1,3,11.86,5.25,326.92,0.02,18,0.19,18.16,62.27,6,12,4,7,6,N
