LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
49,77,6,6,72,118,39,0.19,42,7,0.18,140,16,0.39,200,0,19,0.49,76.43,62.09,294691.02,1.58,794,0.02,16371.72,4745.96,0.41,38,65,103,0.12,267,527,43,20,329,28.06,206,Y
15,9,2,2,41,24,5,0.25,8,1,0.2,19,1,0.0,18,0,0,0.0,47.89,12.0,6896.24,0.19,116,0.08,383.12,574.69,0.2,8,12,16,0.06,38,78,19,12,78,70.49,20,N
9,49,6,9,52,76,25,0.36,28,13,0.52,100,6,0.21,61,1,15,0.6,18.7,91.25,155679.37,0.57,330,0.01,8648.85,1706.08,0.24,24,38,77,0.19,146,184,16,20,133,50.0,70,N
1,1,0,0,0,8,1,0.5,2,1,1.0,1,1,0.0,2,0,1,1.0,13.29,4.5,269.08,0.02,18,0.22,14.95,59.79,1.0,3,4,2,0.2,6,12,4,6,5,0.0,2,N
3,7,3,1,2,10,4,0.29,4,2,0.5,14,3,0.67,13,0,4,1.0,15.01,12.0,2161.02,0.06,41,0.08,120.06,180.09,0.75,3,5,12,0.19,18,23,9,12,21,18.75,14,N
8,16,4,5,12,20,10,0.2,10,10,1.0,35,1,0.0,45,0,10,1.0,43.52,22.2,21449.61,0.32,173,0.05,1191.64,966.2,0.1,5,10,27,0.14,74,99,30,18,72,27.42,50,N
0,1,0,0,0,0,1,0.2,0,1,1.0,1,1,0.0,5,0,1,1.0,3.7,3.0,33.28,0.0,7,0.33,1.85,11.09,1.0,0,0,2,0.17,3,4,1,2,6,0.0,5,N
0,1,1,0,0,0,1,0.5,0,1,1.0,2,1,0.0,2,1,1,1.0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,3,0.25,2,4,2,4,4,0.0,2,N
4,1,1,0,4,0,1,0.01,0,1,1.0,36,1,0.0,69,0,1,1.0,138.06,18.21,45776.25,0.84,441,0.05,2543.13,2513.89,1.0,0,0,37,0.01,174,267,43,9,79,5.48,69,Y
0,11,0,0,6,12,6,0.6,2,1,0.17,13,6,1.0,10,0,5,0.83,26.97,6.3,1070.48,0.06,40,0.16,59.47,169.92,1.0,5,6,9,0.33,14,26,10,9,18,37.5,10,N
