LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
12,15,20,1,7,16,9,0.17,8,2.0,7,0.78,56,5,0.5,52,1,7,0.78,99.0,17.94,31877.94,0.59,287,0.06,1771.0,1776.48,0.56,4,8,49,0.12,102,185,54,19,73,13.33,53,Y
0,3,4,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,2,2,1.0,20.81,9.0,1685.67,0.06,42,0.11,93.65,187.3,0.5,1,2,9,0.22,15,27,10,12,9,0.0,8,N
3,5,3,0,1,6,3,0.27,2,3.0,2,0.67,13,3,1.0,11,1,1,0.33,29.72,13.6,5496.65,0.13,85,0.07,305.37,404.17,1.0,2,3,12,0.19,34,51,15,12,16,8.33,11,N
11,43,16,0,4,76,22,0.21,34,2.24,17,0.77,119,12,0.52,103,3,18,0.82,70.89,48.94,169799.06,1.16,557,0.02,9433.28,3469.45,0.55,21,38,99,0.18,208,349,51,24,119,3.74,103,N
9,11,13,0,9,8,8,0.1,4,2.0,5,0.63,43,1,0.0,79,2,7,0.88,123.35,19.27,45791.28,0.79,367,0.05,2543.96,2376.59,0.13,2,4,37,0.08,152,215,71,18,102,10.23,79,Y
0,3,6,0,0,4,2,0.13,2,2.0,2,1.0,12,1,0.0,16,2,2,1.0,27.13,15.06,6152.97,0.14,81,0.07,341.83,408.6,0.5,1,2,12,0.12,32,49,17,16,17,0.0,16,N
2,3,7,0,6,4,2,0.11,2,2.0,2,1.0,14,1,0.0,18,1,2,1.0,39.51,10.08,4016.74,0.13,82,0.1,223.15,398.35,0.5,1,2,14,0.07,33,49,18,11,27,25.0,18,N
3,5,7,1,2,8,3,0.18,4,2.0,1,0.33,18,1,0.0,16,0,3,1.0,44.98,14.69,9703.67,0.22,125,0.07,539.09,660.68,0.33,2,4,17,0.12,47,78,24,15,25,15.79,17,N
0,5,6,0,0,8,3,0.14,4,2.0,3,1.0,18,1,0.0,22,1,2,0.67,35.04,12.63,5590.85,0.15,87,0.08,310.6,442.61,0.33,2,4,17,0.13,32,55,19,15,23,0.0,22,N
7,7,8,0,0,4,5,0.14,2,2.0,4,0.8,30,1,0.0,36,0,4,0.8,55.99,19.75,21840.0,0.37,198,0.05,1213.33,1105.82,0.2,1,2,27,0.11,79,119,32,16,44,0.0,36,Y
2,3,6,1,0,4,2,0.18,2,2.0,2,1.0,11,1,0.0,10,1,2,1.0,25.4,13.71,4777.91,0.12,71,0.07,265.44,348.39,0.5,1,2,11,0.14,24,47,14,16,14,9.09,11,Y
7,12,16,1,0,16,7,0.19,8,2.0,6,0.86,47,1,0.0,35,0,6,0.86,67.77,18.76,23842.81,0.42,217,0.05,1324.6,1271.18,0.14,4,8,42,0.16,77,140,39,19,44,2.78,36,N
9,12,10,0,8,16,7,0.21,8,2.0,6,0.86,38,1,0.0,34,1,5,0.71,54.94,20.4,22864.72,0.37,193,0.05,1270.26,1120.82,0.14,4,8,33,0.13,68,125,35,21,53,19.05,34,N
0,7,5,0,0,10,4,0.29,4,2.5,2,0.5,19,3,0.67,14,1,2,0.5,31.35,9.97,3114.36,0.1,65,0.1,173.02,312.48,0.75,3,5,17,0.27,23,42,15,13,15,0.0,14,N
9,12,10,0,2,14,7,0.23,6,2.33,7,1.0,40,6,0.83,30,0,6,0.86,52.03,24.0,29970.57,0.42,216,0.04,1665.03,1248.77,0.86,4,7,35,0.17,84,132,35,20,42,6.25,30,N
4,8,9,0,3,8,5,0.19,4,2.0,2,0.4,28,1,0.0,27,0,4,0.8,63.88,14.57,13563.07,0.31,161,0.07,753.5,930.8,0.2,2,4,25,0.14,51,110,35,20,36,10.0,27,Y
4,9,5,0,1,14,5,0.31,6,2.33,4,0.8,26,3,0.5,16,0,5,1.0,22.8,17.0,6589.95,0.13,79,0.06,366.11,387.64,0.6,4,7,23,0.22,26,53,13,17,23,5.88,16,N
2,13,7,0,0,12,8,0.22,6,2.0,6,0.75,41,3,0.29,36,1,7,0.88,46.09,20.67,19687.59,0.32,179,0.05,1093.75,952.63,0.38,3,6,35,0.2,62,117,24,16,40,0.0,36,N
0,3,4,0,0,4,2,0.15,2,2.0,2,1.0,10,1,0.0,13,2,2,1.0,25.59,14.0,5014.84,0.12,73,0.07,278.6,358.2,0.5,1,2,10,0.13,28,45,15,15,15,0.0,13,N
10,23,14,0,13,34,13,0.25,16,2.13,12,0.92,74,1,0.0,52,1,11,0.85,64.37,33.13,70666.9,0.71,348,0.03,3925.94,2132.99,0.08,9,17,63,0.17,127,221,46,24,77,20.0,52,N
1,3,3,0,0,4,2,0.25,2,2.0,2,1.0,8,1,0.0,8,1,2,1.0,15.23,10.5,1679.07,0.05,37,0.1,93.28,159.91,0.5,1,2,8,0.2,14,23,8,12,10,0.0,8,N
0,7,6,0,0,12,4,0.21,6,2.0,3,0.75,22,1,0.0,19,2,1,0.25,28.87,14.62,6175.54,0.14,83,0.07,343.09,422.26,0.25,3,6,20,0.19,26,57,16,18,21,0.0,19,N
19,27,27,0,1,52,14,0.13,26,2.0,10,0.71,149,1,0.0,106,0,10,0.71,125.82,44.77,252155.78,1.88,829,0.02,14008.65,5632.57,0.07,13,26,137,0.11,308,521,86,25,127,0.93,106,Y
1,3,4,0,0,4,2,0.22,2,2.0,2,1.0,9,1,0.0,9,1,2,1.0,17.15,13.0,2898.63,0.07,50,0.08,161.04,222.97,0.5,1,2,9,0.18,18,32,9,13,11,0.0,9,N
0,3,10,0,0,4,2,0.11,2,2.0,2,1.0,26,1,0.0,19,0,2,1.0,48.56,17.22,14395.0,0.28,163,0.06,799.72,836.07,0.5,1,2,26,0.1,66,97,23,12,20,0.0,19,N
12,14,22,0,1,10,9,0.14,4,2.5,7,0.78,68,4,0.38,66,0,6,0.67,116.42,23.48,64177.21,0.91,418,0.04,3565.4,2733.37,0.44,3,5,61,0.11,161,257,72,21,81,1.49,66,N
