LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
7,7,0,5,6,12,4,0.17,6,2.0,1,0.25,13,1,0.0,19,0,36.57,16.0,9362.4,0.2,116,0.06,520.13,585.15,0.25,3,6,11,0.11,56,60,21,12,38,36.67,24,Y
0,5,3,1,0,8,3,0.33,4,2.0,3,1.0,12,1,0.0,8,0,22.64,5.73,742.59,0.04,30,0.17,41.25,129.66,0.33,2,4,11,0.3,14,16,11,9,10,11.11,9,N
5,11,7,5,10,20,6,0.14,10,2.0,6,1.0,31,1,0.0,37,0,169.61,8.26,11574.36,0.47,221,0.12,643.02,1401.11,0.17,5,10,27,0.1,95,126,69,12,58,28.85,42,N
11,13,1,0,6,18,7,0.22,6,3.0,3,0.43,23,6,0.83,32,0,34.46,29.66,30303.94,0.34,182,0.03,1683.55,1021.88,0.86,6,9,18,0.14,86,96,29,20,50,15.79,32,N
8,13,6,0,7,20,7,0.25,10,2.0,7,1.0,26,5,0.67,28,2,43.76,15.87,11016.6,0.23,125,0.06,612.03,694.32,0.71,5,10,21,0.16,56,69,30,17,44,20.0,28,N
22,19,9,0,19,32,10,0.2,14,2.29,7,0.7,42,5,0.44,50,0,69.97,32.88,75642.93,0.77,351,0.03,4202.39,2300.66,0.5,9,16,34,0.11,155,196,66,28,92,27.54,50,N
4,3,2,0,7,4,2,0.18,2,2.0,1,0.5,9,1,0.0,11,0,19.04,16.39,5116.45,0.1,63,0.06,284.25,312.11,0.5,1,2,9,0.09,27,36,14,17,23,38.89,11,N
7,9,2,0,9,16,5,0.17,8,2.0,5,1.0,19,5,1.0,29,1,44.67,20.61,18980.62,0.31,164,0.05,1054.48,920.81,1.0,4,8,16,0.11,71,93,31,18,46,23.68,29,Y
28,27,12,0,10,44,14,0.27,18,2.44,11,0.79,57,9,0.62,51,0,68.42,21.88,32737.87,0.5,245,0.05,1818.77,1496.59,0.64,13,24,45,0.16,100,145,48,21,90,16.39,51,N
1,16,0,5,0,12,12,0.26,6,2.0,1,0.08,34,6,0.45,41,4,29.35,33.5,32937.0,0.33,178,0.03,1829.83,983.19,0.5,3,6,24,0.25,67,111,23,23,48,10.87,46,N
