wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
14,3,0,8,41,33,1,8,10,0.760683761,385,1.0,2,0.74,0.357142857,1,1,25.85714286,4,1.5714,0
5,3,0,9,43,0,0,9,5,0.666666667,276,1.0,0,0.902439024,0.533333333,2,3,53.6,1,0.8,0
13,1,1,8,20,46,6,2,8,0.666666667,111,1.0,0,0.0,0.615384615,0,0,7.230769231,1,0.7692,0
8,4,0,7,35,4,0,7,7,0.714285714,265,1.0,0,0.917647059,0.46875,3,3,31.375,5,1.375,0
31,1,0,6,65,243,4,2,30,0.726666667,747,1.0,0,0.0,0.182795699,1,1,22.61290323,4,1.1613,0
15,3,0,3,37,41,1,2,14,0.696428571,437,0.75,1,0.454545455,0.311111111,1,2,27.33333333,1,0.8,0
12,1,0,3,21,44,1,2,5,0.805194805,147,1.0,1,0.0,0.261904762,0,0,10.66666667,4,1.25,0
2,2,0,6,9,1,1,5,2,2.0,33,0.0,0,0.958333333,1.0,0,0,15.5,1,0.5,0
6,3,0,6,16,5,0,6,5,0.733333333,95,1.0,0,0.880952381,0.5,0,0,14.33333333,1,0.8333,0
15,4,2,18,55,37,2,16,9,0.728571429,730,1.0,4,0.846153846,0.193333333,3,7,47.0,12,2.4667,1
7,3,0,8,22,0,0,8,7,0.625,147,1.0,0,0.860465116,0.342857143,1,1,19.42857143,5,1.4286,0
26,3,0,15,108,233,1,15,22,0.902608696,1156,1.0,2,0.596774194,0.16025641,3,3,42.57692308,7,1.2692,1
3,3,0,5,22,0,1,5,3,0.0,149,1.0,0,0.948717949,0.666666667,0,0,48.33333333,1,0.6667,0
19,1,0,30,46,65,29,3,17,0.416666667,448,1.0,0,0.0,0.289473684,0,0,22.47368421,16,2.4211,0
6,4,0,8,34,0,0,8,6,0.6,493,1.0,0,0.939759036,0.555555556,1,1,80.5,1,0.8333,2
2,2,0,10,9,1,6,4,2,2.0,31,0.0,0,0.923076923,0.666666667,0,0,14.5,1,0.5,0
26,3,0,33,80,201,26,8,20,0.573333333,719,0.666666667,2,0.566037736,0.152727273,2,11,26.53846154,14,2.2692,0
3,3,0,3,10,0,0,3,3,0.0,32,1.0,0,0.948717949,0.666666667,0,0,9.333333333,1,0.6667,0
3,2,0,9,22,3,1,8,2,2.0,128,0.0,0,0.92,1.0,1,1,41.66666667,9,3.3333,0
9,3,0,9,29,0,0,9,9,0.583333333,168,1.0,1,0.822222222,0.444444444,0,0,17.33333333,2,1.4444,0
4,3,0,5,32,2,0,5,4,0.666666667,215,1.0,0,0.925,0.75,1,1,52.25,1,0.75,0
