name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.xerces.impl.xs.traversers.XSAttributeChecker,0.15384615384615385,0.0,0.0,0.5833333333333334,0.32608695652173914,0.0052970109723798715,0.2909090909090909,0.44680851063829785,0.14,0.4828934505,0.6325455366551257,0.559139785,0.76,0.0,0.20979021,0.0,0.0,1.0,0.21088435374149658,0.3174619047619047,1
org.apache.xerces.impl.dv.xs.DateTimeDatatypeValidator,0.038461538461538464,0.75,0.0,0.1,0.052173913043478265,0.0011350737797956867,0.03636363636363636,0.0851063829787234,0.04,1.0,0.010236339003462292,0.0,0.0,0.985714286,0.428571429,0.25,0.3333333333333333,0.06346106907850027,0.006802721088435374,0.01587142857142857,1
org.apache.html.dom.HTMLOptGroupElementImpl,0.0641025641025641,0.75,0.0,0.03333333333333333,0.04782608695652174,0.003783579265985623,0.0,0.0425531914893617,0.1,1.0,0.004516031913292188,0.0,0.0,0.959183673,0.45,0.0,0.0,0.014644862092785467,0.006802721088435374,0.0380952380952381,1
org.apache.wml.WMLPElement,0.07692307692307693,0.0,0.0,0.03333333333333333,0.026086956521739132,0.005675368898978434,0.01818181818181818,0.02127659574468085,0.12,1.0,0.0009032063826584375,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,1
org.w3c.dom.html.HTMLTitleElement,0.02564102564102564,0.0,0.0,0.0,0.008695652173913044,0.00037835792659856227,0.0,0.0,0.04,1.0,0.0003010687942194792,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,0
org.w3c.dom.html.HTMLLegendElement,0.0641025641025641,0.0,0.0,0.0,0.021739130434782608,0.003783579265985623,0.0,0.0,0.1,1.0,0.0007526719855486979,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,0
org.apache.xerces.impl.xs.identity.XPathMatcher,0.1923076923076923,0.0,0.038461538461538464,0.43333333333333335,0.1782608695652174,0.013999243284146803,0.12727272727272726,0.40425531914893614,0.24,0.4126984125,0.13096492548547345,1.0,0.16,0.0,0.181818182,0.0,0.0,0.16343666095548579,0.07482993197278912,0.11428571428571427,1
org.w3c.dom.events.EventListener,0.01282051282051282,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,0.02,1.0,0.0001505343971097396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,0
org.apache.html.dom.HTMLModElementImpl,0.0641025641025641,0.75,0.0,0.03333333333333333,0.034782608695652174,0.003783579265985623,0.0,0.0425531914893617,0.1,1.0,0.004214963119072709,0.0,0.0,0.959183673,0.6,0.0,0.0,0.013473273125362627,0.006802721088435374,0.0380952380952381,1
org.apache.xerces.util.SymbolHash,0.11538461538461538,0.0,0.0,0.06666666666666667,0.06521739130434782,0.0,0.03636363636363636,0.0425531914893617,0.16,0.09375,0.03657985849766672,1.0,0.04,0.0,0.422222222,0.0,0.0,0.0755024001293139,0.04081632653061224,0.10052857142857143,1
org.apache.xerces.dom.CoreDOMImplementationImpl,0.07692307692307693,0.0,0.0,0.03333333333333333,0.08260869565217391,0.0049186530457813096,0.01818181818181818,0.0425531914893617,0.1,0.4,0.01911786843293693,0.0,0.04,0.0,0.533333333,0.0,0.0,0.058579448371141866,0.07482993197278912,0.14285714285714285,1
org.apache.wml.WMLBigElement,0.02564102564102564,0.0,0.0,0.03333333333333333,0.008695652173913044,0.00037835792659856227,0.01818181818181818,0.02127659574468085,0.04,1.0,0.0003010687942194792,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,1
org.apache.wml.dom.WMLTrElementImpl,0.0641025641025641,0.75,0.0,0.05,0.034782608695652174,0.003783579265985623,0.0,0.06382978723404255,0.1,1.0,0.004214963119072709,0.0,0.0,0.953488372,0.6,0.25,0.19047619047619047,0.013473273125362627,0.006802721088435374,0.0380952380952381,1
org.apache.html.dom.HTMLHtmlElementImpl,0.038461538461538464,0.75,0.0,0.03333333333333333,0.030434782608695653,0.0011350737797956867,0.01818181818181818,0.0425531914893617,0.06,1.0,0.002860153545085052,0.0,0.0,0.979166667,0.666666667,0.0,0.0,0.015621186231328172,0.006802721088435374,0.031747619047619045,1
org.xml.sax.ext.LexicalHandler,0.08974358974358974,0.0,0.0,0.0,0.030434782608695653,0.007945516458569807,0.0,0.0,0.14,1.0,0.0010537407797681772,0.0,0.0,0.0,0.428571429,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,0
org.w3c.dom.traversal.NodeIterator,0.08974358974358974,0.0,0.0,0.0,0.030434782608695653,0.007945516458569807,0.0,0.0,0.14,1.0,0.0010537407797681772,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,0
org.apache.xerces.dom.EntityImpl,0.1794871794871795,0.75,0.019230769230769232,0.06666666666666667,0.08260869565217391,0.02989027620128642,0.05454545454545454,0.0425531914893617,0.28,0.4725274725,0.020021074815595365,0.857142857,0.0,0.858695652,0.392857143,0.5,0.2857142857142857,0.023431779348456746,0.013605442176870748,0.08163333333333332,1
org.w3c.dom.events.EventException,0.01282051282051282,0.75,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.02,1.0,0.0015053439710973958,0.0,0.0,1.0,1.0,0.0,0.0,0.020502806929899652,0.0,0.0,0
org.apache.xerces.dom.DeferredEntityReferenceImpl,0.0641025641025641,0.5,0.0,0.08333333333333333,0.05652173913043478,0.0,0.01818181818181818,0.10638297872340426,0.02,0.375,0.008881529429474636,0.5,0.0,0.921568627,0.466666667,0.5,0.2857142857142857,0.03046131315299377,0.006802721088435374,0.0380952380952381,1
org.w3c.dom.html.HTMLParagraphElement,0.02564102564102564,0.0,0.0,0.0,0.008695652173913044,0.00037835792659856227,0.0,0.0,0.04,1.0,0.0003010687942194792,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,0
org.apache.wml.WMLMetaElement,0.1282051282051282,0.0,0.0,0.03333333333333333,0.043478260869565216,0.0170261066969353,0.01818181818181818,0.02127659574468085,0.2,1.0,0.0015053439710973958,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,1
org.apache.xerces.dom.AttrImpl,0.48717948717948717,0.25,0.038461538461538464,0.21666666666666667,0.4260869565217391,0.1592886870979947,0.18181818181818182,0.0851063829787234,0.48,0.408783784,0.16558783682071354,0.75,0.04,0.556962025,0.174174174,0.25,0.8095238095238095,0.08154875838110337,0.07482993197278912,0.12406190476190476,1
org.apache.wml.WMLStrongElement,0.02564102564102564,0.0,0.0,0.03333333333333333,0.008695652173913044,0.00037835792659856227,0.01818181818181818,0.02127659574468085,0.04,1.0,0.0003010687942194792,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,1
org.apache.wml.dom.WMLNoopElementImpl,0.0641025641025641,0.75,0.0,0.05,0.034782608695652174,0.003783579265985623,0.0,0.06382978723404255,0.1,1.0,0.004214963119072709,0.0,0.0,0.953488372,0.6,0.25,0.19047619047619047,0.013473273125362627,0.006802721088435374,0.0380952380952381,1
org.xml.sax.XMLFilter,0.02564102564102564,0.0,0.0,0.0,0.008695652173913044,0.00037835792659856227,0.0,0.0,0.04,1.0,0.0003010687942194792,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,0
org.w3c.dom.events.Event,0.1282051282051282,0.0,0.0,0.0,0.043478260869565216,0.0170261066969353,0.0,0.0,0.2,0.5555555555,0.001956947162426615,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.006802721088435374,0.047619047619047616,0
