name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.lucene.search.FuzzyQuery,10.0,3.0,0.0,13.0,42.0,7.0,1.0,12.0,9.0,0.638888889,280.0,0.5,0.0,0.72,0.285714286,3.0,4.0,26.6,6.0,1.4,1.0
org.apache.lucene.index.MultiLevelSkipListReader,10.0,1.0,1.0,4.0,21.0,0.0,1.0,3.0,1.0,0.619047619,477.0,1.0,1.0,0.0,0.5,0.0,0.0,45.3,2.0,1.0,1.0
org.apache.lucene.store.RAMDirectory,17.0,2.0,0.0,11.0,42.0,0.0,2.0,10.0,15.0,0.5625,393.0,0.333333333,0.0,0.586206897,0.352941176,1.0,5.0,21.94117647,2.0,0.8824,2.0
org.apache.lucene.search.spans.SpanQuery,5.0,2.0,5.0,17.0,7.0,10.0,12.0,6.0,4.0,2.0,14.0,0.0,0.0,0.75,0.466666667,1.0,1.0,1.8,1.0,0.8,0.0
org.apache.lucene.index.TermPositions,4.0,1.0,0.0,23.0,4.0,6.0,22.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0
org.apache.lucene.search.function.DocValues,14.0,1.0,6.0,16.0,19.0,79.0,15.0,1.0,11.0,0.723076923,133.0,1.0,0.0,0.0,0.785714286,0.0,0.0,8.142857143,3.0,1.0,1.0
org.apache.lucene.analysis.standard.CharStream,12.0,1.0,0.0,3.0,12.0,66.0,3.0,0.0,12.0,2.0,12.0,0.0,0.0,0.0,0.583333333,0.0,0.0,0.0,1.0,1.0,0.0
org.apache.lucene.analysis.standard.FastCharStream,14.0,1.0,0.0,2.0,25.0,3.0,1.0,1.0,13.0,0.602564103,237.0,0.0,0.0,0.0,0.404761905,0.0,0.0,15.5,1.0,0.9286,0.0
org.apache.lucene.search.FieldCacheImpl,14.0,1.0,0.0,22.0,29.0,67.0,9.0,22.0,12.0,0.897435897,199.0,0.333333333,12.0,0.0,0.403846154,0.0,0.0,12.35714286,1.0,0.8571,4.0
org.apache.lucene.document.LoadFirstFieldSelector,2.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,0.75,0.0,0.0,2.5,1.0,0.5,0.0
org.apache.lucene.index.SegmentInfo,18.0,1.0,0.0,12.0,44.0,0.0,8.0,4.0,4.0,0.678733032,981.0,0.461538462,1.0,0.0,0.243055556,0.0,0.0,52.77777778,4.0,1.3333,3.0
org.apache.lucene.store.BufferedIndexInput,15.0,2.0,2.0,4.0,30.0,21.0,3.0,1.0,9.0,0.705357143,438.0,0.625,0.0,0.538461538,0.328571429,1.0,4.0,27.66666667,7.0,1.2667,3.0
org.apache.lucene.index.TermInfosWriter,6.0,1.0,0.0,9.0,29.0,0.0,2.0,7.0,0.0,0.45,395.0,0.666666667,5.0,0.0,0.479166667,0.0,0.0,62.83333333,1.0,0.6667,3.0
org.apache.lucene.index.DefaultSkipListReader,8.0,2.0,0.0,3.0,15.0,0.0,1.0,2.0,0.0,0.571428571,158.0,1.0,0.0,0.5625,0.425,1.0,3.0,17.875,1.0,0.875,0.0
