wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
7.0,1.0,0.0,6.0,19.0,7.0,0.0,6.0,6.0,0.75,117.0,1.0,2.0,0.0,0.366666667,0.0,0.0,15.14285714,3.0,1.1429,0.0
13.0,1.0,0.0,1.0,17.0,64.0,0.0,1.0,12.0,0.916666667,117.0,1.0,0.0,0.0,0.461538462,0.0,0.0,7.461538462,3.0,1.3846,0.0
7.0,4.0,4.0,48.0,12.0,19.0,47.0,1.0,6.0,0.944444444,44.0,0.333333333,0.0,0.866666667,0.458333333,0.0,0.0,4.857142857,1.0,0.2857,0.0
4.0,1.0,0.0,4.0,4.0,6.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
4.0,5.0,0.0,2.0,8.0,6.0,1.0,1.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666666667,0.0,0.0,4.0,0.0,0.0,0.0
3.0,1.0,0.0,8.0,14.0,3.0,3.0,5.0,3.0,2.0,85.0,0.0,0.0,0.0,0.5,0.0,0.0,27.33333333,9.0,3.3333,0.0
5.0,1.0,0.0,2.0,6.0,6.0,1.0,1.0,5.0,0.916666667,25.0,1.0,1.0,0.0,0.466666667,0.0,0.0,3.4,1.0,0.8,0.0
10.0,1.0,0.0,6.0,31.0,1.0,0.0,6.0,9.0,0.5,156.0,1.0,1.0,0.0,0.355555556,0.0,0.0,14.4,1.0,0.8,1.0
9.0,1.0,0.0,6.0,9.0,36.0,3.0,3.0,9.0,2.0,9.0,0.0,0.0,0.0,0.425925926,0.0,0.0,0.0,1.0,1.0,0.0
15.0,1.0,0.0,6.0,19.0,83.0,4.0,2.0,15.0,0.928571429,123.0,1.0,2.0,0.0,0.20952381,1.0,1.0,6.733333333,7.0,1.4,0.0
30.0,1.0,0.0,1.0,34.0,389.0,0.0,1.0,29.0,0.946708464,266.0,1.0,0.0,0.0,0.433333333,0.0,0.0,7.5,3.0,1.4667,0.0
38.0,1.0,0.0,30.0,155.0,485.0,0.0,30.0,34.0,0.922604423,1564.0,1.0,7.0,0.0,0.138314785,0.0,0.0,39.57894737,7.0,1.4737,1.0
10.0,1.0,0.0,4.0,19.0,0.0,2.0,2.0,10.0,0.694444444,115.0,1.0,3.0,0.0,0.35,1.0,1.0,10.1,5.0,1.3,0.0
3.0,1.0,0.0,3.0,9.0,3.0,0.0,3.0,3.0,2.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,12.33333333,5.0,2.0,0.0
11.0,1.0,0.0,8.0,18.0,13.0,7.0,1.0,11.0,0.775,130.0,1.0,1.0,0.0,0.287878788,1.0,1.0,10.45454545,7.0,1.3636,0.0
10.0,1.0,1.0,14.0,29.0,21.0,5.0,9.0,6.0,0.777777778,150.0,1.0,0.0,0.0,0.44,0.0,0.0,13.6,2.0,1.2,0.0
3.0,4.0,0.0,3.0,10.0,3.0,0.0,3.0,3.0,2.0,33.0,0.0,0.0,0.965517241,0.833333333,0.0,0.0,10.0,1.0,0.6667,0.0
35.0,1.0,0.0,29.0,121.0,373.0,0.0,29.0,31.0,0.910294118,1250.0,1.0,5.0,0.0,0.165966387,0.0,0.0,34.14285714,5.0,1.2286,0.0
13.0,1.0,0.0,6.0,35.0,64.0,0.0,6.0,13.0,0.9375,254.0,1.0,0.0,0.0,0.259615385,0.0,0.0,17.92307692,2.0,1.0,0.0
1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
7.0,1.0,0.0,13.0,7.0,21.0,13.0,0.0,7.0,2.0,7.0,0.0,0.0,0.0,0.464285714,0.0,0.0,0.0,1.0,1.0,0.0
9.0,1.0,0.0,6.0,15.0,4.0,6.0,1.0,9.0,0.791666667,101.0,1.0,1.0,0.0,0.361111111,1.0,1.0,9.888888889,7.0,1.5556,0.0
18.0,1.0,0.0,17.0,46.0,97.0,0.0,17.0,17.0,0.898395722,277.0,1.0,4.0,0.0,0.211764706,0.0,0.0,13.77777778,3.0,1.0556,1.0
8.0,1.0,0.0,4.0,15.0,6.0,4.0,0.0,8.0,0.80952381,82.0,1.0,0.0,0.0,0.34375,1.0,1.0,8.875,6.0,1.625,0.0
